NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,1,1,9.939,104,18,51,Aprovechable,En Pie,18S,458220,9151932,PC 07,
Hura crepitans , Catahua,Hura crepitans , Catahua, ,1,2,7.3718,95,16,60,Aprovechable,En Pie,18S,458232,9151996,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,1,3,4.2344,72,16,51,Aprovechable,En Pie,18S,458180,9152007,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,1,4,3.4459,75,12,41,Aprovechable,En Pie,18S,458192,9152040,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,1,5,5.003,70,20,41,Aprovechable,En Pie,18S,458193,9152042,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,1,6,15.5284,115,23,51,Aprovechable,En Pie,18S,458192,9152093,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,1,7,5.7432,75,20,51,Aprovechable,En Pie,18S,458221,9152135,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,1,8,11.5922,87,30,41,Aprovechable,En Pie,18S,458191,9152136,PC 07,
Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,1,9,2.2238,66,10,41,Aprovechable,En Pie,18S,458197,9152242,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,1,10,6.2703,85,17,51,Aprovechable,En Pie,18S,458201,9152252,PC 07,
Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,2,11,2.5883,65,12,41,Semillero,En Pie,18S,458145,9152662,PC 07,SEMILLERO
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,2,12,1.6565,52,12,41,Semillero,En Pie,18S,458152,9152616,PC 07,SEMILLERO
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,2,13,4.7524,74,17,56,Semillero,En Pie,18S,458130,9152616,PC 07,SEMILLERO
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,2,14,2.573,60,14,41,Aprovechable,En Pie,18S,458162,9152548,PC 07,
Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,2,15,2.1569,65,10,41,Aprovechable,En Pie,18S,458162,9152545,PC 07,
Virola albidiflora , Caupuri, ,, ,2,16,4.0024,70,16,41,Aprovechable,En Pie,18S,458158,9152542,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,2,17,7.7303,104,14,51,Aprovechable,En Pie,18S,458124,9152522,PC 07,
Hymenaea courbaril , Azúcar huayo,Hymenaea courbaril , Azúcar huayo, ,2,18,3.451,65,16,51,Aprovechable,En Pie,18S,458137,9152516,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,2,19,4.5027,70,18,56,Semillero,En Pie,18S,458131,9152487,PC 07,SEMILLERO
Hura crepitans , Catahua,Hura crepitans , Catahua, ,2,20,9.5721,125,12,60,Aprovechable,En Pie,18S,458167,9152472,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,2,21,3.9207,80,12,51,Aprovechable,En Pie,18S,458159,9152455,PC 07,
Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,2,22,4.9009,80,15,56,Aprovechable,En Pie,18S,458147,9152406,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,2,23,4.6074,95,10,51,Aprovechable,En Pie,18S,458183,9152397,PC 07,
Hymenaea courbaril , Azúcar huayo,Hymenaea courbaril , Azúcar huayo, ,2,24,3.4375,67,15,51,Semillero,En Pie,18S,458180,9152341,PC 07,SEMILLERO
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,2,25,9.1892,100,18,51,Aprovechable,En Pie,18S,458136,9152308,PC 07,
Myroxylon balsamum , Estoraque,Myroxylon balsamum , Estoraque, ,2,26,1.8378,60,10,41,Aprovechable,En Pie,18S,458125,9152250,PC 07,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,2,27,5.1051,100,10,51,Aprovechable,En Pie,18S,458154,9152143,PC 07,
