idx,label,folder,file,image_path,raw_x,raw_y,pixel_x,pixel_y,coord_mode_used,col0,row0,debug_patch
0,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.20773893000902063,0.0995816625249923,3296.4013413831394,1413.3625362172156,normalized,3184,1301,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0000_0.png
1,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.6224489851529381,0.9333111900793607,9877.020496406822,13246.485720796367,normalized,9765,13134,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0001_0.png
2,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.5071007099550986,0.7627037076017229,9284.5068985679,9117.360120670995,normalized,9173,9005,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0002_0.png
3,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_006,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_006_idw_transparent_mosaic_group1.tif,0.21160060391147587,0.837209451492591,3162.1594248530955,9861.490129131229,normalized,3050,9749,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0003_0.png
4,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.8920334210109244,0.390180208569743,16332.239905289016,4664.214213242708,normalized,16220,4552,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0004_0.png
5,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_005,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_005_idw_transparent_mosaic_group1.tif,0.22628064723909655,0.3699878670444442,4142.972370300618,4422.834962649286,normalized,4031,4311,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0005_0.png
6,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.46740522634906984,0.12266312796628988,9123.750018333843,1823.2647340909327,normalized,9012,1711,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0006_0.png
7,0,2023-01,25-PUC-C-DE-CPC-002-12_26032023_007,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_26032023_007_idw_transparent_mosaic_group1.tif,0.20233364971855763,0.2597119966593607,3100.560848287177,3254.4510301384485,normalized,2989,3142,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0007_0.png
8,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.2165102600051172,0.16318674846862646,4226.280275299888,2425.6078292376637,normalized,4114,2314,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0008_0.png
9,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.19350829173497786,0.4568268406767509,3777.2818546667677,6790.274159819225,normalized,3665,6678,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0009_0.png
10,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.7670646943906927,0.23858375785517166,12171.782570591511,3386.2192752384512,normalized,12060,3274,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0010_0.png
11,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.4783983058631459,0.28967517196331843,7591.224317436399,4111.3597156753785,normalized,7479,3999,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0011_0.png
12,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.9772939528986708,0.5013562925696659,15507.700444596108,7115.749860441268,normalized,15396,7004,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0012_0.png
13,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.7089533552317819,0.5455536140798396,11249.671840817915,7743.0424446351635,normalized,11138,7631,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0013_0.png
14,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.4831554017537257,0.590522608117708,9431.193442232725,8777.52804706161,normalized,9319,8666,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0014_0.png
15,0,2023-01,25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparen,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_20032023_003_IDW_transparent_mosaic_group1.tif,0.631359853437646,0.6259749891981063,12324.14433910285,9304.492239440653,normalized,12212,9192,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0015_0.png
16,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.6148131424920609,0.19545393537772454,9755.854945064022,2774.0777048160444,normalized,9644,2662,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0016_0.png
17,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.617675778866973,0.22507893505234458,9801.279259061128,3194.5453251979266,normalized,9689,3083,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0017_0.png
18,0,2023-01,25-PUC-C-DE-CPC-002-12_23032023_004,/mnt/parscratch/users/aca21jo/2025_Forge/OSINFOR_data/01. Ortomosaicos/2023/2023-01/25-PUC-C-DE-CPC-002-12_23032023_004_idw_transparent_mosaic_group1.tif,0.3215752065218387,0.22188597644581232,5102.755377088536,3149.2276636954143,normalized,4991,3037,./outputs/binary_resnet50_rgb_balanced_cuda/debug_patches/train/0018_0.png
