Using Python from: /users/acb20si/.conda/envs/lejepa/bin/python
Python 3.11.13
[WARN] Skipping row 224: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 239: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 241: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 322: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 328: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 347: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 349: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 356: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 358: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 370: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 376: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 394: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 398: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 477: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 478: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 574: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 577: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 584: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 716: No TIFF found for FAJA=20, PCA=7
[WARN] Skipping row 736: No TIFF found for FAJA=20, PCA=7
[WARN] Skipping row 742: No TIFF found for FAJA=20, PCA=7
[WARN] Skipping row 746: No TIFF found for FAJA=20, PCA=7
[WARN] Skipping row 747: No TIFF found for FAJA=20, PCA=7
[WARN] Skipping row 750: No TIFF found for FAJA=20, PCA=7
[WARN] Skipping row 756: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 769: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 782: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 787: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 797: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 899: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 903: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 906: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 918: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 920: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 960: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 968: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 973: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 991: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 996: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 997: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 1076: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 1081: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 1092: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 1094: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 1097: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 1100: No TIFF found for FAJA=16, PCA=7
[WARN] Skipping row 1112: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 1113: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 1121: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 1127: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 1129: No TIFF found for FAJA=17, PCA=7
[WARN] Skipping row 1135: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1147: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1155: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1164: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1186: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 1187: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 1191: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 1224: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1229: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1230: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1235: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1236: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1237: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1240: No TIFF found for FAJA=7, PCA=7
[WARN] Skipping row 1338: No TIFF found for FAJA=22, PCA=7
