x,y,feature_id,label,type
594139.7344696966,9111153.582760507,0,lupuna,center
594394.2181486073,9111569.0929506,1,lupuna,slide
602471.817521851,9109422.163403174,2,capirona,center
602419.8467478288,9111656.71902869,3,capirona,center
602730.6755469394,9109274.388636231,4,capirona,center
602291.1115675588,9109267.3053985,5,capirona,center
592686.8188584517,9113192.08687382,6,almendro,center
592422.6686066844,9111897.076581651,7,almendro,center
601330.823587712,9112667.740824454,8,capirona,center
592247.6870525862,9111911.094053332,9,almendro,center
592242.6426904389,9112069.421896229,10,almendro,center
594479.1257782725,9111214.73175183,11,lupuna,slide
594315.2151790843,9111224.571320392,12,lupuna,slide
594569.1903820428,9111359.357593684,13,lupuna,slide
594421.8868627952,9111370.700179182,14,lupuna,slide
592672.4694333515,9113247.370340545,15,almendro,center
592425.6689287889,9112143.621160716,16,almendro,center
592519.4823476095,9112152.693962537,17,almendro,center
594358.7194578064,9111208.72808811,18,lupuna,slide
594386.3679430593,9111222.64042266,19,lupuna,slide
594218.1200928781,9111198.09517767,20,lupuna,slide
594293.6834684496,9111507.871802142,21,lupuna,slide
601288.4987368184,9112938.70736532,22,capirona,slide
602715.524857214,9111543.513805058,23,capirona,center
602620.9005127833,9109387.810972318,24,capirona,center
592658.5620317326,9113244.291115656,25,almendro,center
592167.3501028068,9111923.166902462,26,almendro,center
592539.6180701773,9112053.46147202,27,almendro,center
592148.9477961499,9112048.099396816,28,almendro,center
592214.2728818299,9112175.069486652,29,almendro,center
592298.4481053823,9111613.118505783,30,capirona,center
592168.0410598175,9113091.107760916,31,almendro,center
592666.3767750146,9112279.01512658,32,almendro,center
592430.4707228602,9111583.05559342,33,capirona,center
602608.0014277349,9111363.252380485,34,capirona,center
592709.7713397087,9112272.955377432,35,almendro,center
592275.1718772773,9111996.058469934,36,almendro,center
602354.5756125177,9111662.99465197,37,capirona,center
602743.3594201407,9111484.374750748,38,capirona,center
602169.0683479607,9109449.782714428,39,capirona,slide
602238.2896390597,9109144.916084722,40,capirona,slide
592146.8814962022,9112034.950629702,41,almendro,center
592234.63934505,9111596.157082891,42,capirona,center
602316.9548052049,9109312.647527928,43,capirona,center
592468.704929784,9112078.032945745,44,almendro,center
592190.8194055972,9112053.102214737,45,almendro,center
592278.7481262732,9111581.970637158,46,capirona,center
592544.5368177819,9113204.255547715,47,almendro,center
592550.541974291,9113176.284326566,48,almendro,center
602575.2994756973,9109408.626161613,49,capirona,center
602428.1945593372,9109168.875182703,50,capirona,center
592482.9682448105,9111566.070576986,51,capirona,center
592333.7337617395,9111630.209551638,52,capirona,center
1035502.9280607651,8776584.540083699,53,catahua,slide
1035272.6746952612,8776063.223779086,54,catahua,slide
