id,label,x,y,final_status
650,azãºcar huayo,612215.6938870756,8752998.747562915,center
651,azãºcar huayo,612177.4210333019,8753007.74226487,center
652,azãºcar huayo,612211.6039471733,8753098.35088941,center
653,azãºcar huayo,612102.9770994501,8753146.702563073,center
654,azãºcar huayo,612125.9338713638,8753169.814482167,center
655,azãºcar huayo,612105.4920318943,8753185.574685063,center
656,azãºcar huayo,612090.0010923562,8753184.536298165,center
657,azãºcar huayo,612079.8349269795,8753201.576746818,center
658,azãºcar huayo,612011.2627221398,8753168.503701005,center
660,azãºcar huayo,611786.992811137,8753136.042348191,center
661,azãºcar huayo,611831.0184990944,8753109.526186999,center
662,azãºcar huayo,611824.2303927809,8753089.083667047,center
663,azãºcar huayo,611835.6453314256,8753184.33612136,center
666,azãºcar huayo,611957.7616060651,8753102.460908497,center
667,azãºcar huayo,611965.0934790103,8753124.498075642,center
668,azãºcar huayo,611930.5269792975,8753048.950538933,center
671,azãºcar huayo,612267.0222696172,8752777.340303842,center
684,azãºcar huayo,611732.5287241502,8753130.25546774,center
685,azãºcar huayo,611733.140170698,8753133.989565888,center
686,azãºcar huayo,611763.8254213382,8753081.329644812,center
687,azãºcar huayo,611740.1911654245,8753091.427026333,center
688,azãºcar huayo,611749.3920800829,8753068.968601191,center
689,azãºcar huayo,611757.9174692325,8753074.74836248,center
693,azãºcar huayo,612012.5399242557,8753084.699382398,center
694,azãºcar huayo,612056.3796177851,8753162.940979745,center
695,azãºcar huayo,612036.7558326606,8753150.159815483,center
627,shihuahuaco,610378.3174757884,8758738.579077315,center
629,shihuahuaco,610266.1072219047,8758549.422756677,center
630,shihuahuaco,610245.195127314,8758595.481217133,center
635,shihuahuaco,610239.2059532072,8758732.438521411,center
636,caoba,610604.5991749115,8758702.81636055,center
637,caoba,610745.6017034946,8758730.512809997,center
672,caoba,610445.2278430727,8758797.184887834,center
673,caoba,610662.4164042915,8758652.03804271,center
674,caoba,610621.8161339212,8758653.467120027,center
648,azãºcar huayo,609553.0522296093,8757566.513634631,center
681,azãºcar huayo,609419.0714363368,8757640.067743208,center
682,azãºcar huayo,609441.838790945,8757545.005628478,center
659,ana caspi,611745.4708941374,8753208.210514368,center
664,ana caspi,611933.2906073215,8753284.051751984,center
665,ana caspi,611952.3241245763,8753318.63676501,center
669,ana caspi,611910.1022153564,8753362.560941653,center
670,ana caspi,611867.4427288185,8753414.766705288,center
683,ana caspi,611770.4428164961,8753447.878538754,center
690,ana caspi,611771.0458103872,8753435.808907473,center
691,ana caspi,612087.737237065,8753267.077099862,center
692,ana caspi,612149.384670923,8753241.606100427,center
696,azãºcar huayo,611990.0891481935,8753210.704394875,center
649,estoraque,610562.0847665224,8756519.488504913,center
638,estoraque,609620.6379295831,8753819.701842094,center
639,estoraque,610004.7914677295,8753833.862433884,center
640,estoraque,610027.3014526713,8753857.63845246,center
641,estoraque,610000.8096643131,8753858.89252511,center
642,estoraque,610054.7968314775,8753838.95615204,center
643,estoraque,610007.3377115496,8753817.47478517,center
644,estoraque,610104.8369790432,8753822.551227175,center
645,estoraque,610100.3511387259,8753787.69688368,center
646,estoraque,610032.8722310964,8753566.709445503,center
647,estoraque,609796.5421541338,8753497.51554865,center
676,estoraque,609637.1593442016,8753628.555885116,center
677,estoraque,609654.1693647752,8753680.285823656,center
678,estoraque,609668.283017452,8753725.719685258,center
679,estoraque,609900.0638374715,8753782.18052295,center
680,estoraque,609857.8224382862,8753783.147142252,center
628,caoba,611040.4005899891,8758747.119325235,center
631,caoba,611023.4532540812,8758753.34430444,center
632,caoba,610870.0394179452,8758758.937591692,center
633,caoba,610969.7499208796,8758633.20728865,center
634,caoba,611030.570170698,8758507.119068453,center
675,caoba,610801.2115951292,8758784.420993408,center
30,capirona,592298.4481053824,9111613.118505789,center
33,capirona,592424.9707228601,9111583.05559342,center
42,capirona,592231.1726783834,9111596.157082891,center
46,capirona,592278.7481262732,9111581.970637158,center
51,capirona,592482.2807448105,9111565.383076986,center
52,capirona,592333.7337617393,9111631.78098021,center
8,capirona,601330.823587712,9112667.740824454,center
22,capirona,601298.8987368182,9112943.907365318,center
6,almendro,592684.6855251185,9113189.63687382,center
15,almendro,592675.2194333514,9113247.370340543,center
25,almendro,592654.4370317326,9113245.666115656,center
31,almendro,592157.6410598176,9113085.907760916,center
47,almendro,592544.5368177817,9113204.255547717,center
48,almendro,592550.541974291,9113176.284326566,center
