,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
14234,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,40,14,8.503,89,16,51,Aprovechable,En Pie,18S,594254,9113083,PC 08,
14235,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,40,18,5.696,61,30,51,Semillero,En Pie,18S,594790,9113089,PC 08,
14236,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,40,23,15.417,130,17,51,Aprovechable,En Pie,18S,594996,9113084,PC 08,
14237,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,40,25,7.963,85,17,51,Aprovechable,En Pie,18S,595236,9113105,PC 08,
14238,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,40,27,8.11,85,22,51,Aprovechable,En Pie,18S,595383,9113075,PC 08,
14239,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,39,5.506,61,29,51,Semillero,En Pie,18S,595621,9113051,PC 08,
14240,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,42,22.42,130,26,51,Aprovechable,En Pie,18S,595528,9113013,PC 08,
14241,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,55,7.049,85,14,51,Aprovechable,En Pie,18S,594645,9113017,PC 08,
14242,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,61,15.22,110,19,51,Aprovechable,En Pie,18S,594198,9113014,PC 08,
14243,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,62,11.655,100,16,51,Aprovechable,En Pie,18S,593976,9113004,PC 08,
14244,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,64,13.533,103,25,51,Aprovechable,En Pie,18S,593671,9113023,PC 08,
14245,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,41,65,3.727,62,19,51,Aprovechable,En Pie,18S,593496,9113040,PC 08,
14246,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,102,4.752,60,20,51,Aprovechable,En Pie,18S,593500,9112661,PC 08,
14247,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,107,10.73,90,20,51,Aprovechable,En Pie,18S,593711,9112651,PC 08,
14248,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,111,21.069,150,15,51,Aprovechable,En Pie,18S,594416,9112651,PC 08,
14249,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,118,12.227,100,20,51,Aprovechable,En Pie,18S,594952,9112642,PC 08,
14250,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,124,9.942,90,20,51,Aprovechable,En Pie,18S,595160,9112664,PC 08,
14251,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,132,5.453,75,19,51,Aprovechable,En Pie,18S,595664,9112614,PC 08,
14252,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,134,23.449,170,14,51,Aprovechable,En Pie,18S,595690,9112609,PC 08,
14253,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,141,13.075,110,17,51,Aprovechable,En Pie,18S,595919,9112544,PC 08,
14254,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,142,5.268,80,13,51,Aprovechable,En Pie,18S,595889,9112599,PC 08,
14255,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,144,12.303,110,14,51,Aprovechable,En Pie,18S,595628,9112546,PC 08,
14256,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,148,9.935,100,15,51,Aprovechable,En Pie,18S,595443,9112556,PC 08,
14257,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,150,8.289,95,18,51,Aprovechable,En Pie,18S,595369,9112559,PC 08,
14258,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,151,9.389,92,17,51,Aprovechable,En Pie,18S,595141,9112558,PC 08,
14259,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,47,155,9.978,95,18,51,Aprovechable,En Pie,18S,594910,9112542,PC 08,
14260,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,185,3.857,60,21,51,Semillero,En Pie,18S,593340,9111894,PC 08,
14261,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,42,201,10.046,75,35,51,Semillero,En Pie,18S,593433,9112916,PC 08,
14262,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,42,204,13.701,110,18,51,Aprovechable,En Pie,18S,593627,9112890,PC 08,
14263,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,42,215,16.556,140,15,51,Aprovechable,En Pie,18S,594331,9112892,PC 08,
