,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
4645,Virola peruviana , Cumala,Virola peruviana , Cumala, ,40,1,4.702,70,17,46,Aprovechable,En Pie,18S,593313,9113091,PC 08,
4646,Virola peruviana , Cumala,Virola peruviana , Cumala, ,41,67,6.627,80,15,46,Aprovechable,En Pie,18S,593387,9113031,PC 08,
4647,Virola peruviana , Cumala,Virola peruviana , Cumala, ,41,68,4.646,70,14,46,Aprovechable,En Pie,18S,593340,9113012,PC 08,
4648,Virola peruviana , Cumala,Virola peruviana , Cumala, ,26,69,3.675,49,30,46,Semillero,En Pie,18S,593283,9114059,PC 08,
4649,Virola peruviana , Cumala,Virola peruviana , Cumala, ,46,101,5.089,70,18,46,Aprovechable,En Pie,18S,593428,9112667,PC 08,
4650,Virola peruviana , Cumala,Virola peruviana , Cumala, ,46,123,1.835,46,17,46,Semillero,En Pie,18S,595160,9112630,PC 08,
4651,Virola peruviana , Cumala,Virola peruviana , Cumala, ,56,191,2.169,50,17,46,Semillero,En Pie,18S,593638,9111939,PC 08,
4652,Virola peruviana , Cumala,Virola peruviana , Cumala, ,56,193,1.786,50,14,46,Semillero,En Pie,18S,593666,9111939,PC 08,
4653,Virola peruviana , Cumala,Virola peruviana , Cumala, ,56,198,11.029,88,23,46,Aprovechable,En Pie,18S,593833,9111926,PC 08,
4654,Virola peruviana , Cumala,Virola peruviana , Cumala, ,42,202,10.01,91,18,46,Aprovechable,En Pie,18S,593495,9112955,PC 08,
4655,Virola peruviana , Cumala,Virola peruviana , Cumala, ,42,203,4.351,73,16,46,Aprovechable,En Pie,18S,593549,9112906,PC 08,
4656,Virola peruviana , Cumala,Virola peruviana , Cumala, ,43,271,9.695,100,19,46,Aprovechable,En Pie,18S,593990,9112832,PC 08,
4657,Virola peruviana , Cumala,Virola peruviana , Cumala, ,50,301,8.164,100,16,46,Aprovechable,En Pie,18S,593307,9112380,PC 08,
4658,Virola peruviana , Cumala,Virola peruviana , Cumala, ,50,305,7.297,80,16,46,Aprovechable,En Pie,18S,593447,9112346,PC 08,
4659,Virola peruviana , Cumala,Virola peruviana , Cumala, ,50,306,4.631,55,30,46,Semillero,En Pie,18S,593537,9112382,PC 08,
4660,Virola peruviana , Cumala,Virola peruviana , Cumala, ,50,307,5.918,79,16,46,Aprovechable,En Pie,18S,593585,9112350,PC 08,
4661,Virola peruviana , Cumala,Virola peruviana , Cumala, ,50,320,5.225,80,16,46,Aprovechable,En Pie,18S,595012,9112369,PC 08,
4662,Virola peruviana , Cumala,Virola peruviana , Cumala, ,51,343,2.56,56,16,46,Aprovechable,En Pie,18S,595913,9112293,PC 08,
4663,Virola peruviana , Cumala,Virola peruviana , Cumala, ,51,354,3.55,55,23,46,Semillero,En Pie,18S,594990,9112293,PC 08,
4664,Virola peruviana , Cumala,Virola peruviana , Cumala, ,51,360,4.592,60,25,46,Semillero,En Pie,18S,594426,9112274,PC 08,
4665,Virola peruviana , Cumala,Virola peruviana , Cumala, ,51,378,3.376,65,13,46,Aprovechable,En Pie,18S,593544,9112287,PC 08,
4666,Virola peruviana , Cumala,Virola peruviana , Cumala, ,51,382,5.552,80,17,46,Aprovechable,En Pie,18S,593306,9112273,PC 08,
4667,Virola peruviana , Cumala,Virola peruviana , Cumala, ,30,384,4.13,69,17,46,Aprovechable,En Pie,18S,593306,9113728,PC 08,
4668,Virola peruviana , Cumala,Virola peruviana , Cumala, ,30,385,5.713,70,22,46,Aprovechable,En Pie,18S,593332,9113738,PC 08,
4669,Virola peruviana , Cumala,Virola peruviana , Cumala, ,30,386,2.56,56,16,46,Aprovechable,En Pie,18S,593327,9113729,PC 08,
4670,Virola peruviana , Cumala,Virola peruviana , Cumala, ,30,387,3.303,68,14,46,Aprovechable,En Pie,18S,593366,9113727,PC 08,
