NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Huberodendron swietenioides , Aguano masha,Huberodendron swietenioides , Aguano masha, ,44,816,8.674,100,17,51,Aprovechable,En Pie,18S,594568,9112799,PC 08,
Huberodendron swietenioides , Aguano masha,Huberodendron swietenioides , Aguano masha, ,12,4072,3.75,70,15,51,Semillero,En Pie,18S,597223,9114979,PC 08,
Huberodendron swietenioides , Aguano masha,Huberodendron swietenioides , Aguano masha, ,12,4073,8.164,100,16,51,Aprovechable,En Pie,18S,597059,9115028,PC 08,
Huberodendron swietenioides , Aguano masha,Huberodendron swietenioides , Aguano masha, ,13,4080,6.613,90,16,51,Aprovechable,En Pie,18S,597726,9114925,PC 08,
Huberodendron swietenioides , Aguano masha,Huberodendron swietenioides , Aguano masha, ,56,4648,7.088,63,35,51,Semillero,En Pie,18S,598636,9111931,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,41,45,6.467,65,30,41,Semillero,En Pie,18S,595369,9113021,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,41,66,4.898,80,15,41,Aprovechable,En Pie,18S,593462,9113026,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,26,93,5.407,87,14,41,Aprovechable,En Pie,18S,595463,9114040,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,26,98,4.018,75,14,41,Aprovechable,En Pie,18S,595705,9114036,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,67,764,7.654,100,15,41,Aprovechable,En Pie,18S,594152,9111158,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,44,823,4.245,80,13,41,Aprovechable,En Pie,18S,595107,9112764,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,61,1041,4.218,83,12,41,Aprovechable,En Pie,18S,593459,9111600,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,61,1048,7.251,70,29,41,Semillero,En Pie,18S,593985,9111545,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,61,1064,4.055,85,11,41,Aprovechable,En Pie,18S,594381,9111562,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,61,1090,3.1,45,30,41,Semillero,En Pie,18S,595304,9111605,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,61,1091,3.699,50,29,41,Semillero,En Pie,18S,595310,9111603,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,61,1095,2.204,60,12,41,Aprovechable,En Pie,18S,595401,9111611,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,65,1276,4.079,73,15,41,Aprovechable,En Pie,18S,593773,9111267,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,31,1325,3.5,70,14,41,Aprovechable,En Pie,18S,595933,9113658,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,31,1343,6.322,88,16,41,Aprovechable,En Pie,18S,594460,9113686,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,54,1368,4.126,76,14,41,Aprovechable,En Pie,18S,594093,9112056,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,54,1373,8.644,110,14,41,Aprovechable,En Pie,18S,594274,9112093,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,54,1374,4.409,60,24,41,Semillero,En Pie,18S,594363,9112069,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,54,1393,4.245,80,13,41,Aprovechable,En Pie,18S,595470,9112075,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,55,1508,3.5,70,14,41,Aprovechable,En Pie,18S,595757,9111989,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,55,1528,3.5,70,14,41,Aprovechable,En Pie,18S,594547,9111983,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,50,1553,4.592,75,16,41,Aprovechable,En Pie,18S,593441,9112360,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,62,1567,3.75,70,15,41,Aprovechable,En Pie,18S,593806,9111496,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,60,1710,3,70,12,41,Aprovechable,En Pie,18S,595918,9111631,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,60,1714,3.731,75,13,41,Aprovechable,En Pie,18S,595592,9111676,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,60,1733,4.572,80,14,41,Aprovechable,En Pie,18S,594494,9111628,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,74,1768,4.133,90,10,41,Aprovechable,En Pie,18S,593639,9110687,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,62,2032,5.786,90,14,41,Aprovechable,En Pie,18S,594559,9111538,PC 08,
Caryocar glabrum , Almendro,Caryocar glabrum , Almendro, ,82,2079,4.409,60,24,41,Semillero,En Pie,18S,594975,9110112,PC 08,
